stage,question_id,region_id,region_label,lat_range,lon_range,signal_key,attribute_key,question_text,allowed_answers
stage2,stage2_kp_north_low_level_jet_strength,kp_north,한반도 북부,37~40N,124~130E,low_level_jet,strength,이 영역의 850hPa 하층 제트 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_north_low_level_jet_orientation,kp_north,한반도 북부,37~40N,124~130E,low_level_jet,orientation,이 영역과 가장 관련된 하층 제트 축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_kp_north_strong_wind_zone_strength,kp_north,한반도 북부,37~40N,124~130E,strong_wind_zone,strength,이 영역의 850hPa 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_north_moisture_transport_axis_orientation,kp_north,한반도 북부,37~40N,124~130E,moisture_transport_axis,orientation,이 영역과 가장 관련된 수증기 수송축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_kp_north_moisture_transport_axis_strength,kp_north,한반도 북부,37~40N,124~130E,moisture_transport_axis,strength,이 영역의 수증기 수송 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_north_low_level_convergence_candidate_strength,kp_north,한반도 북부,37~40N,124~130E,low_level_convergence_candidate,strength,이 영역의 하층 수렴 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_south_trough_axis_relative_position,kp_south,한반도 남부,33~37N,124~130E,trough_axis,relative_position,이 영역과 가장 관련된 850hPa 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_south_ridge_axis_relative_position,kp_south,한반도 남부,33~37N,124~130E,ridge_axis,relative_position,이 영역과 가장 관련된 850hPa 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_south_warm_advection_strength,kp_south,한반도 남부,33~37N,124~130E,warm_advection,strength,이 영역의 850hPa 난기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_south_cold_advection_strength,kp_south,한반도 남부,33~37N,124~130E,cold_advection,strength,이 영역의 850hPa 한기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_south_thermal_gradient_zone_strength,kp_south,한반도 남부,33~37N,124~130E,thermal_gradient_zone,strength,이 영역의 850hPa 온도경도대 또는 전선대 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_south_wet_area_coverage,kp_south,한반도 남부,33~37N,124~130E,wet_area,coverage,이 영역의 WET AREA 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_kp_south_wet_area_relative_position,kp_south,한반도 남부,33~37N,124~130E,wet_area,relative_position,이 영역과 가장 관련된 WET AREA의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_kp_south_low_level_jet_strength,kp_south,한반도 남부,33~37N,124~130E,low_level_jet,strength,이 영역의 850hPa 하층 제트 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_south_low_level_jet_orientation,kp_south,한반도 남부,33~37N,124~130E,low_level_jet,orientation,이 영역과 가장 관련된 하층 제트 축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_kp_south_strong_wind_zone_strength,kp_south,한반도 남부,33~37N,124~130E,strong_wind_zone,strength,이 영역의 850hPa 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_south_moisture_transport_axis_orientation,kp_south,한반도 남부,33~37N,124~130E,moisture_transport_axis,orientation,이 영역과 가장 관련된 수증기 수송축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_kp_south_moisture_transport_axis_strength,kp_south,한반도 남부,33~37N,124~130E,moisture_transport_axis,strength,이 영역의 수증기 수송 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_kp_south_low_level_convergence_candidate_strength,kp_south,한반도 남부,33~37N,124~130E,low_level_convergence_candidate,strength,이 영역의 하층 수렴 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ecs_north_trough_axis_relative_position,ecs_north,동중국해 북부,28~34N,120~128E,trough_axis,relative_position,이 영역과 가장 관련된 850hPa 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ecs_north_ridge_axis_relative_position,ecs_north,동중국해 북부,28~34N,120~128E,ridge_axis,relative_position,이 영역과 가장 관련된 850hPa 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ecs_north_warm_advection_strength,ecs_north,동중국해 북부,28~34N,120~128E,warm_advection,strength,이 영역의 850hPa 난기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ecs_north_cold_advection_strength,ecs_north,동중국해 북부,28~34N,120~128E,cold_advection,strength,이 영역의 850hPa 한기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ecs_north_thermal_gradient_zone_strength,ecs_north,동중국해 북부,28~34N,120~128E,thermal_gradient_zone,strength,이 영역의 850hPa 온도경도대 또는 전선대 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ecs_north_wet_area_coverage,ecs_north,동중국해 북부,28~34N,120~128E,wet_area,coverage,이 영역의 WET AREA 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_ecs_north_wet_area_relative_position,ecs_north,동중국해 북부,28~34N,120~128E,wet_area,relative_position,이 영역과 가장 관련된 WET AREA의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_ecs_north_low_level_jet_strength,ecs_north,동중국해 북부,28~34N,120~128E,low_level_jet,strength,이 영역의 850hPa 하층 제트 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ecs_north_low_level_jet_orientation,ecs_north,동중국해 북부,28~34N,120~128E,low_level_jet,orientation,이 영역과 가장 관련된 하층 제트 축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_ecs_north_strong_wind_zone_strength,ecs_north,동중국해 북부,28~34N,120~128E,strong_wind_zone,strength,이 영역의 850hPa 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ecs_north_moisture_transport_axis_orientation,ecs_north,동중국해 북부,28~34N,120~128E,moisture_transport_axis,orientation,이 영역과 가장 관련된 수증기 수송축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_ecs_north_moisture_transport_axis_strength,ecs_north,동중국해 북부,28~34N,120~128E,moisture_transport_axis,strength,이 영역의 수증기 수송 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_ecs_north_low_level_convergence_candidate_strength,ecs_north,동중국해 북부,28~34N,120~128E,low_level_convergence_candidate,strength,이 영역의 하층 수렴 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_w_trough_axis_relative_position,japan_w,일본 서부,31~38N,130~138E,trough_axis,relative_position,이 영역과 가장 관련된 850hPa 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_japan_w_ridge_axis_relative_position,japan_w,일본 서부,31~38N,130~138E,ridge_axis,relative_position,이 영역과 가장 관련된 850hPa 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_japan_w_warm_advection_strength,japan_w,일본 서부,31~38N,130~138E,warm_advection,strength,이 영역의 850hPa 난기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_w_cold_advection_strength,japan_w,일본 서부,31~38N,130~138E,cold_advection,strength,이 영역의 850hPa 한기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_w_thermal_gradient_zone_strength,japan_w,일본 서부,31~38N,130~138E,thermal_gradient_zone,strength,이 영역의 850hPa 온도경도대 또는 전선대 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_w_wet_area_coverage,japan_w,일본 서부,31~38N,130~138E,wet_area,coverage,이 영역의 WET AREA 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_japan_w_wet_area_relative_position,japan_w,일본 서부,31~38N,130~138E,wet_area,relative_position,이 영역과 가장 관련된 WET AREA의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_japan_w_low_level_jet_strength,japan_w,일본 서부,31~38N,130~138E,low_level_jet,strength,이 영역의 850hPa 하층 제트 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_w_low_level_jet_orientation,japan_w,일본 서부,31~38N,130~138E,low_level_jet,orientation,이 영역과 가장 관련된 하층 제트 축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_japan_w_strong_wind_zone_strength,japan_w,일본 서부,31~38N,130~138E,strong_wind_zone,strength,이 영역의 850hPa 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_w_moisture_transport_axis_orientation,japan_w,일본 서부,31~38N,130~138E,moisture_transport_axis,orientation,이 영역과 가장 관련된 수증기 수송축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_japan_w_moisture_transport_axis_strength,japan_w,일본 서부,31~38N,130~138E,moisture_transport_axis,strength,이 영역의 수증기 수송 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_w_low_level_convergence_candidate_strength,japan_w,일본 서부,31~38N,130~138E,low_level_convergence_candidate,strength,이 영역의 하층 수렴 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_east_offshore_trough_axis_relative_position,japan_east_offshore,일본 동부 해상,30~40N,140~150E,trough_axis,relative_position,이 영역과 가장 관련된 850hPa 기압골의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_japan_east_offshore_ridge_axis_relative_position,japan_east_offshore,일본 동부 해상,30~40N,140~150E,ridge_axis,relative_position,이 영역과 가장 관련된 850hPa 기압능의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_japan_east_offshore_warm_advection_strength,japan_east_offshore,일본 동부 해상,30~40N,140~150E,warm_advection,strength,이 영역의 850hPa 난기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_east_offshore_cold_advection_strength,japan_east_offshore,일본 동부 해상,30~40N,140~150E,cold_advection,strength,이 영역의 850hPa 한기 이류 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_east_offshore_thermal_gradient_zone_strength,japan_east_offshore,일본 동부 해상,30~40N,140~150E,thermal_gradient_zone,strength,이 영역의 850hPa 온도경도대 또는 전선대 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_east_offshore_wet_area_coverage,japan_east_offshore,일본 동부 해상,30~40N,140~150E,wet_area,coverage,이 영역의 WET AREA 범위는 어느 수준인가?,local|regional|broad|unknown
stage2,stage2_japan_east_offshore_wet_area_relative_position,japan_east_offshore,일본 동부 해상,30~40N,140~150E,wet_area,relative_position,이 영역과 가장 관련된 WET AREA의 상대 위치는 무엇인가?,west|inside|east|unknown
stage2,stage2_japan_east_offshore_low_level_jet_strength,japan_east_offshore,일본 동부 해상,30~40N,140~150E,low_level_jet,strength,이 영역의 850hPa 하층 제트 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_east_offshore_low_level_jet_orientation,japan_east_offshore,일본 동부 해상,30~40N,140~150E,low_level_jet,orientation,이 영역과 가장 관련된 하층 제트 축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_japan_east_offshore_strong_wind_zone_strength,japan_east_offshore,일본 동부 해상,30~40N,140~150E,strong_wind_zone,strength,이 영역의 850hPa 강풍역 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_east_offshore_moisture_transport_axis_orientation,japan_east_offshore,일본 동부 해상,30~40N,140~150E,moisture_transport_axis,orientation,이 영역과 가장 관련된 수증기 수송축 방향은 무엇인가?,W-E|NW-SE|SW-NE|curved|unknown
stage2,stage2_japan_east_offshore_moisture_transport_axis_strength,japan_east_offshore,일본 동부 해상,30~40N,140~150E,moisture_transport_axis,strength,이 영역의 수증기 수송 강도는 어느 수준인가?,weak|moderate|strong|unknown
stage2,stage2_japan_east_offshore_low_level_convergence_candidate_strength,japan_east_offshore,일본 동부 해상,30~40N,140~150E,low_level_convergence_candidate,strength,이 영역의 하층 수렴 후보 강도는 어느 수준인가?,weak|moderate|strong|unknown
